Species,0086SE_IS01,0086SE_0001,0086SE_0002,0086SE_0003,0086SE_0004,0086SE_0005,0086SE_0006,0086SE_0007,0086SE_0009,0086SE_0010,0086SE_0011,0086SE_0013,0086SE_0014,0086SE_0015,0086SE_0016,0086SE_0017,0086SE_0018,0086SE_0019,0086SE_0020,0086SE_0021,0086SE_0022,0086SE_0024,0086SE_0025,0086SE_0026,0086SE_0027,0086SE_0028,0086SE_0029,0086SE_0030,0086SE_0031,0086SE_0032,0086SE_0033
DG 36:3,0.041,3.558,6.631,6.375,5.94,5.793,5.509,5.29,6.558,9.932,12.539,6.372,7.058,5.339,5.512,5.297,11.793,8.341,5.392,10.832,18.14,2.785,2.895,4.213,6.57,7.111,6.218,4.607,15.053,7.613,11.764
DG 36:4,0,0.521,1.141,2.189,0.594,0.754,0.758,2.182,2.372,2.864,2.567,1.14,11.525,0.883,0.849,0.921,3.248,1.531,1.577,2.623,3.89,0.18,0.255,0.088,1.301,1.388,0.709,0.822,4.61,0.761,3.536
DG 38:4,0,0,0,0,0,0,0,0,0,0,0,0,5.055,0,0,0,0.401,0,0,0,1.158,0,0,0,0,0,0,0,0,0,0
DG 38:5,0,0,0,0,0.378,0.717,0.304,0.325,0.365,0.68,0.547,0.72,0.891,0,0,0.422,2.236,1.407,1.692,2.048,2.146,0.546,0,0,0.933,0,0.497,0,2.41,0,0.923
DG 38:6,0,0,0,0,0,0,0,0.336,0,0.943,0,0,0.366,0,0,0,0.88,0,0,0.565,0.98,0,0,0,0,0,0,0,0.974,0,0.624
TG 48:0,0.41,33.907,11.09,4.417,1.908,1.565,5.115,1.542,1.571,3.79,8.688,2.301,45.228,67.847,15.544,2.246,14.033,47.889,72.099,139.22,31.02,4.338,6.084,5.743,3.607,4.474,4.205,2.837,9.247,33.389,5.45
TG 48:1,1.082,112,40.378,15.355,8.008,9.265,21.578,9.515,12.962,20.76,30.771,4.676,135.174,182.818,61.597,12.6,68.819,137.426,247.475,476.356,138.822,23.644,28.348,30.803,13.195,15.046,14.325,7.964,18.638,63.63,14.933
TG 48:2,0.578,80.901,28.22,10.187,5.899,7.746,16.787,8.243,12.463,17.6,19.057,2.869,83.431,112.302,39.489,11.216,57.984,85.368,165.151,302.475,109.261,21.648,26.425,27.806,9.121,9.331,8.887,4.316,9.649,28.396,10.422
TG 48:3,0.048,34.785,10.455,3.131,1.954,2.41,5.505,2.886,4.442,5.432,5.845,0.762,22.102,29.588,10.995,3.173,15.668,16.304,28.956,51.099,23.718,5.302,7.531,8.167,2.916,2.516,2.675,0.977,2.17,7.47,3.267
TG 49:1,0.28,8.209,7.469,3.816,1.131,1.366,2.299,2.55,2.84,3.545,6.439,0.89,18.231,21.758,8.998,1.846,5.514,7.208,8.595,12.345,13.179,2.885,3.657,3.722,2.64,3.017,2.935,1.408,3.223,14.643,3.148
TG 49:2,0.036,4.281,4.371,2.584,0.871,1.178,1.976,2.172,2.673,3.736,4.107,0.593,11.2,12.761,6.03,2.126,5.276,5.766,6.926,10.996,11.616,2.701,3.501,3.396,1.921,1.961,1.858,1.001,2.205,6.484,2.298
TG 49:3,0,1.607,1.363,0.553,0,0.091,0.311,0.848,0.992,1.436,0.886,0,3.157,3.067,1.727,0.462,1.447,1.516,1.769,2.279,2.748,0.775,0.969,0.939,0.408,0.292,0.269,0,0.278,1.514,0.769
TG 50:1,3.971,152.012,110.688,59.756,53.779,45.024,82.724,29.989,35.404,71.406,128.121,48.155,240.17,308.953,134.608,43.94,196.806,348.137,424.279,799.597,348.258,41.101,49.162,58.466,70.519,90.047,71.982,59.999,167.398,156.504,70.582
TG 50:2,2.614,111.192,104.85,66.865,60.226,61.09,99.835,47.91,63.176,122.921,130.299,42.522,242.885,284.676,152.143,81.259,311.758,400.664,526.213,986.488,577.466,74.832,87.196,97.428,77.662,92.702,74.87,57.85,161.617,116.408,77.234
TG 50:3,0.714,45.663,45.64,27.027,22.694,24.396,37.075,26.449,35.557,56.371,48.842,13.387,82.199,86.029,53.856,36.238,117.934,110.214,128.745,242.03,191.626,27,36.384,36.965,27.984,31.089,26.039,17.321,48.23,35.737,29.488
